order_date,channel,customer,site_name,product_code,qty,unit_price_ex_gst,unit_price_inc_gst,order_ref,notes
2025-01-01,RETAIL,Nardi Cellars,Geelong,GIN700,2,30.00,33.00,PO1000,Launch deal
2025-01-02,VENUE,Regional Escapes,Torquay,RTD250-Lemon,3,32.00,35.20,PO1001,
2025-01-03,ONLINE,Coastal Markets,Melbourne,RTD250-BloodOrange,4,34.00,37.40,PO1002,
2025-01-04,DIRECT,Metro Liquor,Sydney,BITTERS50,5,36.00,39.60,PO1003,
2025-01-05,RETAIL,Sunset Bars,Brisbane,MIXER750,6,38.00,41.80,PO1004,
2025-01-06,VENUE,Nardi Cellars,Geelong,GIN700,7,30.00,33.00,PO1005,
2025-01-07,ONLINE,Regional Escapes,Torquay,RTD250-Lemon,8,32.00,35.20,PO1006,
2025-01-08,DIRECT,Coastal Markets,Melbourne,RTD250-BloodOrange,9,34.00,37.40,PO1007,Launch deal
2025-01-09,RETAIL,Metro Liquor,Sydney,BITTERS50,10,36.00,39.60,PO1008,
2025-01-10,VENUE,Sunset Bars,Brisbane,MIXER750,11,38.00,41.80,PO1009,
2025-01-11,ONLINE,Nardi Cellars,Geelong,GIN700,12,30.00,33.00,PO1010,
2025-01-12,DIRECT,Regional Escapes,Torquay,RTD250-Lemon,13,32.00,35.20,PO1011,
2025-01-13,RETAIL,Coastal Markets,Melbourne,RTD250-BloodOrange,14,34.00,37.40,PO1012,
2025-01-14,VENUE,Metro Liquor,Sydney,BITTERS50,15,36.00,39.60,PO1013,
2025-01-15,ONLINE,Sunset Bars,Brisbane,MIXER750,16,38.00,41.80,PO1014,Launch deal
2025-01-16,DIRECT,Nardi Cellars,Geelong,GIN700,17,30.00,33.00,PO1015,
2025-01-17,RETAIL,Regional Escapes,Torquay,RTD250-Lemon,18,32.00,35.20,PO1016,
2025-01-18,VENUE,Coastal Markets,Melbourne,RTD250-BloodOrange,19,34.00,37.40,PO1017,
2025-01-19,ONLINE,Metro Liquor,Sydney,BITTERS50,20,36.00,39.60,PO1018,
2025-01-20,DIRECT,Sunset Bars,Brisbane,MIXER750,21,38.00,41.80,PO1019,
2025-01-21,RETAIL,Nardi Cellars,Geelong,GIN700,22,30.00,33.00,PO1020,
2025-01-22,VENUE,Regional Escapes,Torquay,RTD250-Lemon,23,32.00,35.20,PO1021,Launch deal
2025-01-23,ONLINE,Coastal Markets,Melbourne,RTD250-BloodOrange,24,34.00,37.40,PO1022,
2025-01-24,DIRECT,Metro Liquor,Sydney,BITTERS50,25,36.00,39.60,PO1023,
2025-01-25,RETAIL,Sunset Bars,Brisbane,MIXER750,2,38.00,41.80,PO1024,
2025-01-26,VENUE,Nardi Cellars,Geelong,GIN700,3,30.00,33.00,PO1025,
2025-01-27,ONLINE,Regional Escapes,Torquay,RTD250-Lemon,4,32.00,35.20,PO1026,
2025-01-28,DIRECT,Coastal Markets,Melbourne,RTD250-BloodOrange,5,34.00,37.40,PO1027,
2025-01-29,RETAIL,Metro Liquor,Sydney,BITTERS50,6,36.00,39.60,PO1028,Launch deal
2025-01-30,VENUE,Sunset Bars,Brisbane,MIXER750,7,38.00,41.80,PO1029,
2025-01-01,ONLINE,Nardi Cellars,Geelong,GIN700,8,30.00,33.00,PO1030,
2025-01-02,DIRECT,Regional Escapes,Torquay,RTD250-Lemon,9,32.00,35.20,PO1031,
2025-01-03,RETAIL,Coastal Markets,Melbourne,RTD250-BloodOrange,10,34.00,37.40,PO1032,
2025-01-04,VENUE,Metro Liquor,Sydney,BITTERS50,11,36.00,39.60,PO1033,
2025-01-05,ONLINE,Sunset Bars,Brisbane,MIXER750,12,38.00,41.80,PO1034,
2025-01-06,DIRECT,Nardi Cellars,Geelong,GIN700,13,30.00,33.00,PO1035,Launch deal
2025-01-07,RETAIL,Regional Escapes,Torquay,RTD250-Lemon,14,32.00,35.20,PO1036,
2025-01-08,VENUE,Coastal Markets,Melbourne,RTD250-BloodOrange,15,34.00,37.40,PO1037,
2025-01-09,ONLINE,Metro Liquor,Sydney,BITTERS50,16,36.00,39.60,PO1038,
2025-01-10,DIRECT,Sunset Bars,Brisbane,MIXER750,17,38.00,41.80,PO1039,
2025-01-11,RETAIL,Nardi Cellars,Geelong,GIN700,18,30.00,33.00,PO1040,
2025-01-12,VENUE,Regional Escapes,Torquay,RTD250-Lemon,19,32.00,35.20,PO1041,
2025-01-13,ONLINE,Coastal Markets,Melbourne,RTD250-BloodOrange,20,34.00,37.40,PO1042,Launch deal
2025-01-14,DIRECT,Metro Liquor,Sydney,BITTERS50,21,36.00,39.60,PO1043,
2025-01-15,RETAIL,Sunset Bars,Brisbane,MIXER750,22,38.00,41.80,PO1044,
2025-01-16,VENUE,Nardi Cellars,Geelong,GIN700,23,30.00,33.00,PO1045,
2025-01-17,ONLINE,Regional Escapes,Torquay,RTD250-Lemon,24,32.00,35.20,PO1046,
2025-01-18,DIRECT,Coastal Markets,Melbourne,RTD250-BloodOrange,25,34.00,37.40,PO1047,
2025-01-19,RETAIL,Metro Liquor,Sydney,BITTERS50,2,36.00,39.60,PO1048,
2025-01-20,VENUE,Sunset Bars,Brisbane,MIXER750,3,38.00,41.80,PO1049,Launch deal
2025-01-21,ONLINE,Nardi Cellars,Geelong,GIN700,4,30.00,33.00,PO1050,
2025-01-22,DIRECT,Regional Escapes,Torquay,RTD250-Lemon,5,32.00,35.20,PO1051,
2025-01-23,RETAIL,Coastal Markets,Melbourne,RTD250-BloodOrange,6,34.00,37.40,PO1052,
2025-01-24,VENUE,Metro Liquor,Sydney,BITTERS50,7,36.00,39.60,PO1053,
2025-01-25,ONLINE,Sunset Bars,Brisbane,MIXER750,8,38.00,41.80,PO1054,
2025-01-26,DIRECT,Nardi Cellars,Geelong,GIN700,9,30.00,33.00,PO1055,
2025-01-27,RETAIL,Regional Escapes,Torquay,RTD250-Lemon,10,32.00,35.20,PO1056,Launch deal
2025-01-28,VENUE,Coastal Markets,Melbourne,RTD250-BloodOrange,11,34.00,37.40,PO1057,
2025-01-29,ONLINE,Metro Liquor,Sydney,BITTERS50,12,36.00,39.60,PO1058,
2025-01-30,DIRECT,Sunset Bars,Brisbane,MIXER750,13,38.00,41.80,PO1059,
2025-01-01,RETAIL,Nardi Cellars,Geelong,GIN700,14,30.00,33.00,PO1060,
2025-01-02,VENUE,Regional Escapes,Torquay,RTD250-Lemon,15,32.00,35.20,PO1061,
2025-01-03,ONLINE,Coastal Markets,Melbourne,RTD250-BloodOrange,16,34.00,37.40,PO1062,
2025-01-04,DIRECT,Metro Liquor,Sydney,BITTERS50,17,36.00,39.60,PO1063,Launch deal
2025-01-05,RETAIL,Sunset Bars,Brisbane,MIXER750,18,38.00,41.80,PO1064,
2025-01-06,VENUE,Nardi Cellars,Geelong,GIN700,19,30.00,33.00,PO1065,
2025-01-07,ONLINE,Regional Escapes,Torquay,RTD250-Lemon,20,32.00,35.20,PO1066,
2025-01-08,DIRECT,Coastal Markets,Melbourne,RTD250-BloodOrange,21,34.00,37.40,PO1067,
2025-01-09,RETAIL,Metro Liquor,Sydney,BITTERS50,22,36.00,39.60,PO1068,
2025-01-10,VENUE,Sunset Bars,Brisbane,MIXER750,23,38.00,41.80,PO1069,
2025-01-11,ONLINE,Nardi Cellars,Geelong,GIN700,24,30.00,33.00,PO1070,Launch deal
2025-01-12,DIRECT,Regional Escapes,Torquay,RTD250-Lemon,25,32.00,35.20,PO1071,
2025-01-13,RETAIL,Coastal Markets,Melbourne,RTD250-BloodOrange,2,34.00,37.40,PO1072,
2025-01-14,VENUE,Metro Liquor,Sydney,BITTERS50,3,36.00,39.60,PO1073,
2025-01-15,ONLINE,Sunset Bars,Brisbane,MIXER750,4,38.00,41.80,PO1074,
2025-01-16,DIRECT,Nardi Cellars,Geelong,GIN700,5,30.00,33.00,PO1075,
2025-01-17,RETAIL,Regional Escapes,Torquay,RTD250-Lemon,6,32.00,35.20,PO1076,
2025-01-18,VENUE,Coastal Markets,Melbourne,RTD250-BloodOrange,7,34.00,37.40,PO1077,Launch deal
2025-01-19,ONLINE,Metro Liquor,Sydney,BITTERS50,8,36.00,39.60,PO1078,
2025-01-20,DIRECT,Sunset Bars,Brisbane,MIXER750,9,38.00,41.80,PO1079,
2025-01-21,RETAIL,Nardi Cellars,Geelong,GIN700,10,30.00,33.00,PO1080,
2025-01-22,VENUE,Regional Escapes,Torquay,RTD250-Lemon,11,32.00,35.20,PO1081,
2025-01-23,ONLINE,Coastal Markets,Melbourne,RTD250-BloodOrange,12,34.00,37.40,PO1082,
